day,week1,week2,week3,week4,week5,week6,week7,week8,week9,week10,week11,week12,week13,week14,week15,week16,week17,week18,week19,week20,week21,week22,week23,week24,week25,week26,week27,week28,week29,week30,week31,week32,week33,week34,week35,week36,week37,week38,week39,week40,week41,week42,week43,week44,week45,week46,week47,week48,week49,week50,week51,week52,total
Mon,0,5,6,6,5,6,6,7,4,7,7,7,6,5,4,7,4,7,6,4,8,9,5,6,7,6,6,11,5,15,9,6,4,8,10,8,6,4,7,7,7,5,6,15,4,4,5,5,9,9,10,10,360
Tue,0,6,9,9,7,7,5,7,6,8,4,6,7,6,5,6,7,6,4,7,4,6,6,7,5,5,9,6,9,18,4,4,10,5,4,6,5,7,5,9,5,8,7,8,5,6,4,5,9,9,10,10,359
Wed,0,7,8,8,4,5,7,4,12,6,6,8,5,5,4,5,5,7,7,5,7,4,7,5,6,6,11,4,4,12,11,9,6,11,7,7,9,10,9,8,7,6,5,6,6,5,6,6,9,10,10,11,367
Thu,0,6,7,7,8,8,4,6,8,4,5,5,5,7,6,8,4,5,6,9,5,7,8,7,9,8,8,8,6,16,6,5,5,4,5,9,7,8,6,7,6,4,6,7,5,5,5,5,9,9,10,10,362
Fri,0,5,9,9,9,10,9,8,11,9,6,4,7,9,4,9,8,7,5,4,7,5,4,8,5,6,12,10,10,14,10,8,9,6,8,0,7,7,8,8,9,7,8,9,11,12,11,12,10,10,11,11,388
Sat,0,8,7,7,0,9,9,6,10,4,7,8,8,8,6,8,7,9,8,6,4,8,9,10,8,9,14,7,7,17,7,7,4,7,6,0,8,9,10,9,7,8,10,10,13,10,12,11,12,12,13,13,400
